predictor,n,diagnosis,score_fun,score
DNN,1,ST,Specificity,0.98856416772554
DNN,1,ST,F1 score,0.847457627118644
DNN,2,1dAVb,Precision,0.6296296296296297
DNN,2,1dAVb,Recall,0.7619047619047619
DNN,2,1dAVb,Specificity,0.9849246231155779
DNN,2,1dAVb,F1 score,0.7272727272727272
DNN,2,RBBB,Precision,0.696969696969697
DNN,2,RBBB,Recall,1.0
DNN,2,RBBB,Specificity,0.9862155388471178
DNN,2,RBBB,F1 score,0.8214285714285715
DNN,2,LBBB,Precision,1.0
DNN,2,LBBB,Recall,1.0
DNN,2,LBBB,Specificity,1.0
DNN,2,LBBB,F1 score,1.0
DNN,2,SB,Precision,0.5454545454545454
DNN,2,SB,Recall,0.7222222222222222
DNN,2,SB,Specificity,0.9876084262701363
DNN,2,SB,F1 score,0.6666666666666666
DNN,2,AF,Precision,1.0
DNN,2,AF,Recall,0.3333333333333333
DNN,2,AF,Specificity,1.0
DNN,2,AF,F1 score,0.5
DNN,2,ST,Precision,0.8064516129032258
DNN,2,ST,Recall,0.8709677419354839
DNN,2,ST,Specificity,0.9898605830164765
DNN,2,ST,F1 score,0.8727272727272728
DNN,3,1dAVb,Precision,0.6388888888888888
DNN,3,1dAVb,Recall,0.7777777777777778
DNN,3,1dAVb,Specificity,0.9851116625310173
DNN,3,1dAVb,F1 score,0.7368421052631577
DNN,3,RBBB,Precision,0.725
DNN,3,RBBB,Recall,1.0
DNN,3,RBBB,Specificity,0.9871959026888605
DNN,3,RBBB,F1 score,0.8405797101449275
DNN,3,LBBB,Precision,1.0
DNN,3,LBBB,Recall,1.0
DNN,3,LBBB,Specificity,1.0
DNN,3,LBBB,F1 score,1.0
DNN,3,SB,Precision,0.5555555555555556
DNN,3,SB,Recall,0.7272727272727273
DNN,3,SB,Specificity,0.9876543209876543
DNN,3,SB,F1 score,0.689655172413793
DNN,3,AF,Precision,1.0
DNN,3,AF,Recall,0.35714285714285715
DNN,3,AF,Specificity,1.0
DNN,3,AF,F1 score,0.5263157894736842
DNN,3,ST,Precision,0.8085106382978723
DNN,3,ST,Recall,0.875
DNN,3,ST,Specificity,0.9911504424778761
DNN,3,ST,F1 score,0.8735632183908046
DNN,4,1dAVb,Precision,0.6551724137931034
DNN,4,1dAVb,Recall,0.782608695652174
DNN,4,1dAVb,Specificity,0.98625
DNN,4,1dAVb,F1 score,0.7450980392156864
DNN,4,RBBB,Precision,0.7297297297297297
DNN,4,RBBB,Recall,1.0
DNN,4,RBBB,Specificity,0.9874843554443054
DNN,4,RBBB,F1 score,0.8437499999999999
DNN,4,LBBB,Precision,1.0
DNN,4,LBBB,Recall,1.0
DNN,4,LBBB,Specificity,1.0
DNN,4,LBBB,F1 score,1.0
DNN,4,SB,Precision,0.5625
DNN,4,SB,Recall,0.7307692307692307
DNN,4,SB,Specificity,0.988833746898263
DNN,4,SB,F1 score,0.6896551724137931
DNN,4,AF,Precision,1.0
DNN,4,AF,Recall,0.375
DNN,4,AF,Specificity,1.0
DNN,4,AF,F1 score,0.5454545454545454
DNN,4,ST,Precision,0.8181818181818182
DNN,4,ST,Recall,0.875
DNN,4,ST,Specificity,0.9911838790931989
DNN,4,ST,F1 score,0.8771929824561403
DNN,5,1dAVb,Precision,0.6666666666666666
DNN,5,1dAVb,Recall,0.782608695652174
DNN,5,1dAVb,Specificity,0.9863013698630136
DNN,5,1dAVb,F1 score,0.75
DNN,5,RBBB,Precision,0.7307692307692307
DNN,5,RBBB,Recall,1.0
DNN,5,RBBB,Specificity,0.9875
DNN,5,RBBB,F1 score,0.8444444444444443
DNN,5,LBBB,Precision,1.0
DNN,5,LBBB,Recall,1.0
DNN,5,LBBB,Specificity,1.0
DNN,5,LBBB,F1 score,1.0
DNN,5,SB,Precision,0.5769230769230769
DNN,5,SB,Recall,0.7333333333333333
DNN,5,SB,Specificity,0.9889025893958077
DNN,5,SB,F1 score,0.6923076923076923
DNN,5,AF,Precision,1.0
DNN,5,AF,Recall,0.375
DNN,5,AF,Specificity,1.0
DNN,5,AF,F1 score,0.5454545454545454
DNN,5,ST,Precision,0.8181818181818182
DNN,5,ST,Recall,0.8787878787878788
DNN,5,ST,Specificity,0.9923273657289002
DNN,5,ST,F1 score,0.8780487804878049
DNN,6,1dAVb,Precision,0.6666666666666666
DNN,6,1dAVb,Recall,0.7931034482758621
DNN,6,1dAVb,Specificity,0.987389659520807
DNN,6,1dAVb,F1 score,0.7547169811320755
DNN,6,RBBB,Precision,0.7333333333333333
DNN,6,RBBB,Recall,1.0
DNN,6,RBBB,Specificity,0.9875621890547264
DNN,6,RBBB,F1 score,0.846153846153846
DNN,6,LBBB,Precision,1.0
DNN,6,LBBB,Recall,1.0
DNN,6,LBBB,Specificity,1.0
DNN,6,LBBB,F1 score,1.0
DNN,6,SB,Precision,0.5789473684210527
DNN,6,SB,Recall,0.75
DNN,6,SB,Specificity,0.990086741016109
DNN,6,SB,F1 score,0.6923076923076924
DNN,6,AF,Precision,1.0
DNN,6,AF,Recall,0.4
DNN,6,AF,Specificity,1.0
DNN,6,AF,F1 score,0.5714285714285715
DNN,6,ST,Precision,0.8181818181818182
DNN,6,ST,Recall,0.8846153846153846
DNN,6,ST,Specificity,0.9923469387755102
DNN,6,ST,F1 score,0.8787878787878788
DNN,7,1dAVb,Precision,0.6764705882352942
DNN,7,1dAVb,Recall,0.7941176470588235
DNN,7,1dAVb,Specificity,0.9874213836477987
DNN,7,1dAVb,F1 score,0.7567567567567567
DNN,7,RBBB,Precision,0.7368421052631579
DNN,7,RBBB,Recall,1.0
DNN,7,RBBB,Specificity,0.9884615384615385
DNN,7,RBBB,F1 score,0.8484848484848484
DNN,7,LBBB,Precision,1.0
DNN,7,LBBB,Recall,1.0
DNN,7,LBBB,Specificity,1.0
DNN,7,LBBB,F1 score,1.0
DNN,7,SB,Precision,0.5833333333333334
DNN,7,SB,Recall,0.75
DNN,7,SB,Specificity,0.9901234567901235
DNN,7,SB,F1 score,0.7000000000000001
DNN,7,AF,Precision,1.0
DNN,7,AF,Recall,0.4
DNN,7,AF,Specificity,1.0
DNN,7,AF,F1 score,0.5714285714285715
DNN,7,ST,Precision,0.825
DNN,7,ST,Recall,0.8857142857142857
DNN,7,ST,Specificity,0.9923566878980892
DNN,7,ST,F1 score,0.8846153846153846
DNN,8,1dAVb,Precision,0.6774193548387096
DNN,8,1dAVb,Recall,0.8
DNN,8,1dAVb,Specificity,0.9874213836477987
DNN,8,1dAVb,F1 score,0.7586206896551724
DNN,8,RBBB,Precision,0.7428571428571429
DNN,8,RBBB,Recall,1.0
DNN,8,RBBB,Specificity,0.9885204081632653
DNN,8,RBBB,F1 score,0.8524590163934427
DNN,8,LBBB,Precision,1.0
DNN,8,LBBB,Recall,1.0
DNN,8,LBBB,Specificity,1.0
DNN,8,LBBB,F1 score,1.0
DNN,8,SB,Precision,0.5882352941176471
DNN,8,SB,Recall,0.7692307692307693
DNN,8,SB,Specificity,0.9901234567901235
DNN,8,SB,F1 score,0.7058823529411764
DNN,8,AF,Precision,1.0
DNN,8,AF,Recall,0.4
DNN,8,AF,Specificity,1.0
DNN,8,AF,F1 score,0.5714285714285715
DNN,8,ST,Precision,0.8285714285714286
DNN,8,ST,Recall,0.8888888888888888
DNN,8,ST,Specificity,0.9923664122137404
DNN,8,ST,F1 score,0.8846153846153846
DNN,9,1dAVb,Precision,0.6857142857142857
DNN,9,1dAVb,Recall,0.8
DNN,9,1dAVb,Specificity,0.9874843554443054
DNN,9,1dAVb,F1 score,0.76
DNN,9,RBBB,Precision,0.75
DNN,9,RBBB,Recall,1.0
DNN,9,RBBB,Specificity,0.9886075949367089
DNN,9,RBBB,F1 score,0.8571428571428571
DNN,9,LBBB,Precision,1.0
DNN,9,LBBB,Recall,1.0
DNN,9,LBBB,Specificity,1.0
DNN,9,LBBB,F1 score,1.0
DNN,9,SB,Precision,0.5925925925925926
DNN,9,SB,Recall,0.7692307692307693
DNN,9,SB,Specificity,0.9901356350184957
DNN,9,SB,F1 score,0.7096774193548386
DNN,9,AF,Precision,1.0
DNN,9,AF,Recall,0.42857142857142855
DNN,9,AF,Specificity,1.0
DNN,9,AF,F1 score,0.6
DNN,9,ST,Precision,0.8285714285714286
DNN,9,ST,Recall,0.8888888888888888
DNN,9,ST,Specificity,0.9923761118170267
DNN,9,ST,F1 score,0.8846153846153846
DNN,10,1dAVb,Precision,0.6875
DNN,10,1dAVb,Recall,0.8
DNN,10,1dAVb,Specificity,0.9875156054931336
DNN,10,1dAVb,F1 score,0.7659574468085107
DNN,10,RBBB,Precision,0.7631578947368421
DNN,10,RBBB,Recall,1.0
DNN,10,RBBB,Specificity,0.9886649874055415
DNN,10,RBBB,F1 score,0.8656716417910448
DNN,10,LBBB,Precision,1.0
DNN,10,LBBB,Recall,1.0
DNN,10,LBBB,Specificity,1.0
DNN,10,LBBB,F1 score,1.0
DNN,10,SB,Precision,0.6
DNN,10,SB,Recall,0.7692307692307693
DNN,10,SB,Specificity,0.9901356350184957
DNN,10,SB,F1 score,0.7142857142857142
DNN,10,AF,Precision,1.0
DNN,10,AF,Recall,0.42857142857142855
DNN,10,AF,Specificity,1.0
DNN,10,AF,F1 score,0.6
DNN,10,ST,Precision,0.8333333333333334
DNN,10,ST,Recall,0.8947368421052632
DNN,10,ST,Specificity,0.9923857868020305
DNN,10,ST,F1 score,0.8863636363636364
DNN,11,1dAVb,Precision,0.696969696969697
DNN,11,1dAVb,Recall,0.8
DNN,11,1dAVb,Specificity,0.9875156054931336
DNN,11,1dAVb,F1 score,0.7692307692307692
DNN,11,RBBB,Precision,0.7708333333333334
DNN,11,RBBB,Recall,1.0
DNN,11,RBBB,Specificity,0.9886934673366834
DNN,11,RBBB,F1 score,0.8705882352941177
DNN,11,LBBB,Precision,1.0
DNN,11,LBBB,Recall,1.0
DNN,11,LBBB,Specificity,1.0
DNN,11,LBBB,F1 score,1.0
DNN,11,SB,Precision,0.6
DNN,11,SB,Recall,0.7692307692307693
DNN,11,SB,Specificity,0.9901477832512315
DNN,11,SB,F1 score,0.7142857142857142
DNN,11,AF,Precision,1.0
DNN,11,AF,Recall,0.42857142857142855
DNN,11,AF,Specificity,1.0
DNN,11,AF,F1 score,0.6
DNN,11,ST,Precision,0.8333333333333334
DNN,11,ST,Recall,0.896551724137931
DNN,11,ST,Specificity,0.9923954372623575
DNN,11,ST,F1 score,0.8974358974358975
DNN,12,1dAVb,Precision,0.7
DNN,12,1dAVb,Recall,0.8064516129032258
DNN,12,1dAVb,Specificity,0.9875311720698254
DNN,12,1dAVb,F1 score,0.7692307692307692
DNN,12,RBBB,Precision,0.7714285714285715
DNN,12,RBBB,Recall,1.0
DNN,12,RBBB,Specificity,0.9886934673366834
DNN,12,RBBB,F1 score,0.870967741935484
DNN,12,LBBB,Precision,1.0
DNN,12,LBBB,Recall,1.0
DNN,12,LBBB,Specificity,1.0
DNN,12,LBBB,F1 score,1.0
DNN,12,SB,Precision,0.6
DNN,12,SB,Recall,0.7692307692307693
DNN,12,SB,Specificity,0.9901719901719902
DNN,12,SB,F1 score,0.717948717948718
DNN,12,AF,Precision,1.0
DNN,12,AF,Recall,0.4444444444444444
DNN,12,AF,Specificity,1.0
DNN,12,AF,F1 score,0.6153846153846153
DNN,12,ST,Precision,0.8378378378378378
DNN,12,ST,Recall,0.9032258064516129
DNN,12,ST,Specificity,0.9924050632911392
DNN,12,ST,F1 score,0.8974358974358975
DNN,13,1dAVb,Precision,0.7
DNN,13,1dAVb,Recall,0.8064516129032258
DNN,13,1dAVb,Specificity,0.987546699875467
DNN,13,1dAVb,F1 score,0.7727272727272727
DNN,13,RBBB,Precision,0.7714285714285715
DNN,13,RBBB,Recall,1.0
DNN,13,RBBB,Specificity,0.9886934673366834
DNN,13,RBBB,F1 score,0.870967741935484
DNN,13,LBBB,Precision,1.0
DNN,13,LBBB,Recall,1.0
DNN,13,LBBB,Specificity,1.0
DNN,13,LBBB,F1 score,1.0
DNN,13,SB,Precision,0.6111111111111112
DNN,13,SB,Recall,0.7777777777777778
DNN,13,SB,Specificity,0.9901960784313726
DNN,13,SB,F1 score,0.7222222222222222
DNN,13,AF,Precision,1.0
DNN,13,AF,Recall,0.4444444444444444
DNN,13,AF,Specificity,1.0
DNN,13,AF,F1 score,0.6153846153846153
DNN,13,ST,Precision,0.8378378378378378
DNN,13,ST,Recall,0.9032258064516129
DNN,13,ST,Specificity,0.9924242424242424
DNN,13,ST,F1 score,0.8979591836734694
DNN,14,1dAVb,Precision,0.7
DNN,14,1dAVb,Recall,0.8076923076923077
DNN,14,1dAVb,Specificity,0.9875776397515528
DNN,14,1dAVb,F1 score,0.7741935483870968
DNN,14,RBBB,Precision,0.775
DNN,14,RBBB,Recall,1.0
DNN,14,RBBB,Specificity,0.9887218045112782
DNN,14,RBBB,F1 score,0.8732394366197184
DNN,14,LBBB,Precision,1.0
DNN,14,LBBB,Recall,1.0
DNN,14,LBBB,Specificity,1.0
DNN,14,LBBB,F1 score,1.0
DNN,14,SB,Precision,0.6111111111111112
DNN,14,SB,Recall,0.7777777777777778
DNN,14,SB,Specificity,0.9901960784313726
DNN,14,SB,F1 score,0.7272727272727273
DNN,14,AF,Precision,1.0
DNN,14,AF,Recall,0.45454545454545453
DNN,14,AF,Specificity,1.0
DNN,14,AF,F1 score,0.625
DNN,14,ST,Precision,0.84375
DNN,14,ST,Recall,0.9047619047619048
DNN,14,ST,Specificity,0.9924337957124842
DNN,14,ST,F1 score,0.8979591836734695
DNN,15,1dAVb,Precision,0.7037037037037037
DNN,15,1dAVb,Recall,0.8095238095238095
DNN,15,1dAVb,Specificity,0.9875776397515528
DNN,15,1dAVb,F1 score,0.7804878048780488
DNN,15,RBBB,Precision,0.775
DNN,15,RBBB,Recall,1.0
DNN,15,RBBB,Specificity,0.9887640449438202
DNN,15,RBBB,F1 score,0.8732394366197184
DNN,15,LBBB,Precision,1.0
DNN,15,LBBB,Recall,1.0
DNN,15,LBBB,Specificity,1.0
DNN,15,LBBB,F1 score,1.0
DNN,15,SB,Precision,0.6153846153846154
DNN,15,SB,Recall,0.7777777777777778
DNN,15,SB,Specificity,0.9902200488997555
DNN,15,SB,F1 score,0.7317073170731707
DNN,15,AF,Precision,1.0
DNN,15,AF,Recall,0.5
DNN,15,AF,Specificity,1.0
DNN,15,AF,F1 score,0.6666666666666666
DNN,15,ST,Precision,0.8461538461538461
DNN,15,ST,Recall,0.9069767441860465
DNN,15,ST,Specificity,0.9924528301886792
DNN,15,ST,F1 score,0.8985507246376812
DNN,16,1dAVb,Precision,0.7058823529411765
DNN,16,1dAVb,Recall,0.8125
DNN,16,1dAVb,Specificity,0.9876543209876543
DNN,16,1dAVb,F1 score,0.7804878048780488
DNN,16,RBBB,Precision,0.775
DNN,16,RBBB,Recall,1.0
DNN,16,RBBB,Specificity,0.9897828863346104
DNN,16,RBBB,F1 score,0.8732394366197184
DNN,16,LBBB,Precision,1.0
DNN,16,LBBB,Recall,1.0
DNN,16,LBBB,Specificity,1.0
DNN,16,LBBB,F1 score,1.0
DNN,16,SB,Precision,0.6190476190476191
DNN,16,SB,Recall,0.7777777777777778
DNN,16,SB,Specificity,0.9912935323383084
DNN,16,SB,F1 score,0.7333333333333334
DNN,16,AF,Precision,1.0
DNN,16,AF,Recall,0.5
DNN,16,AF,Specificity,1.0
DNN,16,AF,F1 score,0.6666666666666666
DNN,16,ST,Precision,0.8461538461538461
DNN,16,ST,Recall,0.9090909090909091
DNN,16,ST,Specificity,0.992462311557789
DNN,16,ST,F1 score,0.8985507246376812
DNN,17,1dAVb,Precision,0.7096774193548387
DNN,17,1dAVb,Recall,0.8125
DNN,17,1dAVb,Specificity,0.9886506935687264
DNN,17,1dAVb,F1 score,0.7804878048780488
DNN,17,RBBB,Precision,0.7755102040816326
DNN,17,RBBB,Recall,1.0
DNN,17,RBBB,Specificity,0.9897959183673469
DNN,17,RBBB,F1 score,0.8735632183908045
DNN,17,LBBB,Precision,1.0
DNN,17,LBBB,Recall,1.0
DNN,17,LBBB,Specificity,1.0
DNN,17,LBBB,F1 score,1.0
DNN,17,SB,Precision,0.625
DNN,17,SB,Recall,0.7777777777777778
DNN,17,SB,Specificity,0.991304347826087
DNN,17,SB,F1 score,0.7333333333333334
DNN,17,AF,Precision,1.0
DNN,17,AF,Recall,0.5
DNN,17,AF,Specificity,1.0
DNN,17,AF,F1 score,0.6666666666666666
DNN,17,ST,Precision,0.8484848484848485
DNN,17,ST,Recall,0.9090909090909091
DNN,17,ST,Specificity,0.992462311557789
DNN,17,ST,F1 score,0.9
DNN,18,1dAVb,Precision,0.7142857142857143
DNN,18,1dAVb,Recall,0.813953488372093
DNN,18,1dAVb,Specificity,0.9886506935687264
DNN,18,1dAVb,F1 score,0.782608695652174
DNN,18,RBBB,Precision,0.7777777777777778
DNN,18,RBBB,Recall,1.0
DNN,18,RBBB,Specificity,0.9898089171974522
DNN,18,RBBB,F1 score,0.8750000000000001
DNN,18,LBBB,Precision,1.0
DNN,18,LBBB,Recall,1.0
DNN,18,LBBB,Specificity,1.0
DNN,18,LBBB,F1 score,1.0
DNN,18,SB,Precision,0.625
DNN,18,SB,Recall,0.7777777777777778
DNN,18,SB,Specificity,0.9913258983890955
DNN,18,SB,F1 score,0.7333333333333334
DNN,18,AF,Precision,1.0
DNN,18,AF,Recall,0.5
DNN,18,AF,Specificity,1.0
DNN,18,AF,F1 score,0.6666666666666666
DNN,18,ST,Precision,0.85
DNN,18,ST,Recall,0.9090909090909091
DNN,18,ST,Specificity,0.9924812030075187
DNN,18,ST,F1 score,0.9
DNN,19,1dAVb,Precision,0.7142857142857143
DNN,19,1dAVb,Recall,0.8148148148148148
DNN,19,1dAVb,Specificity,0.9886934673366834
DNN,19,1dAVb,F1 score,0.7843137254901961
DNN,19,RBBB,Precision,0.7837837837837838
DNN,19,RBBB,Recall,1.0
DNN,19,RBBB,Specificity,0.989821882951654
DNN,19,RBBB,F1 score,0.8787878787878788
DNN,19,LBBB,Precision,1.0
DNN,19,LBBB,Recall,1.0
DNN,19,LBBB,Specificity,1.0
DNN,19,LBBB,F1 score,1.0
DNN,19,SB,Precision,0.625
DNN,19,SB,Recall,0.7777777777777778
DNN,19,SB,Specificity,0.9913366336633663
DNN,19,SB,F1 score,0.7407407407407406
DNN,19,AF,Precision,1.0
DNN,19,AF,Recall,0.5
DNN,19,AF,Specificity,1.0
DNN,19,AF,F1 score,0.6666666666666666
DNN,19,ST,Precision,0.8518518518518519
DNN,19,ST,Recall,0.9117647058823529
DNN,19,ST,Specificity,0.9925
DNN,19,ST,F1 score,0.9
DNN,20,1dAVb,Precision,0.7142857142857143
DNN,20,1dAVb,Recall,0.8181818181818182
DNN,20,1dAVb,Specificity,0.9887076537013801
DNN,20,1dAVb,F1 score,0.7906976744186046
DNN,20,RBBB,Precision,0.7837837837837838
DNN,20,RBBB,Recall,1.0
DNN,20,RBBB,Specificity,0.9898348157560356
DNN,20,RBBB,F1 score,0.8787878787878788
DNN,20,LBBB,Precision,1.0
DNN,20,LBBB,Recall,1.0
DNN,20,LBBB,Specificity,1.0
DNN,20,LBBB,F1 score,1.0
DNN,20,SB,Precision,0.625
DNN,20,SB,Recall,0.7777777777777778
DNN,20,SB,Specificity,0.9913366336633663
DNN,20,SB,F1 score,0.7407407407407407
DNN,20,AF,Precision,1.0
DNN,20,AF,Recall,0.5
DNN,20,AF,Specificity,1.0
DNN,20,AF,F1 score,0.6666666666666666
DNN,20,ST,Precision,0.8518518518518519
DNN,20,ST,Recall,0.9117647058823529
DNN,20,ST,Specificity,0.9925
DNN,20,ST,F1 score,0.9014084507042254
DNN,21,1dAVb,Precision,0.7142857142857143
DNN,21,1dAVb,Recall,0.8214285714285714
DNN,21,1dAVb,Specificity,0.9887076537013801
DNN,21,1dAVb,F1 score,0.7906976744186046
DNN,21,RBBB,Precision,0.7857142857142857
DNN,21,RBBB,Recall,1.0
DNN,21,RBBB,Specificity,0.9898348157560356
DNN,21,RBBB,F1 score,0.88
DNN,21,LBBB,Precision,1.0
DNN,21,LBBB,Recall,1.0
DNN,21,LBBB,Specificity,1.0
DNN,21,LBBB,F1 score,1.0
DNN,21,SB,Precision,0.631578947368421
DNN,21,SB,Recall,0.7857142857142857
DNN,21,SB,Specificity,0.9913366336633663
DNN,21,SB,F1 score,0.7407407407407408
DNN,21,AF,Precision,1.0
DNN,21,AF,Recall,0.5
DNN,21,AF,Specificity,1.0
DNN,21,AF,F1 score,0.6666666666666666
DNN,21,ST,Precision,0.8571428571428571
DNN,21,ST,Recall,0.9117647058823529
DNN,21,ST,Specificity,0.9925093632958801
DNN,21,ST,F1 score,0.9014084507042254
DNN,22,1dAVb,Precision,0.7142857142857143
DNN,22,1dAVb,Recall,0.8214285714285714
DNN,22,1dAVb,Specificity,0.9887076537013801
DNN,22,1dAVb,F1 score,0.7924528301886792
DNN,22,RBBB,Precision,0.7857142857142857
DNN,22,RBBB,Recall,1.0
DNN,22,RBBB,Specificity,0.9898348157560356
DNN,22,RBBB,F1 score,0.88
DNN,22,LBBB,Precision,1.0
DNN,22,LBBB,Recall,1.0
DNN,22,LBBB,Specificity,1.0
DNN,22,LBBB,F1 score,1.0
DNN,22,SB,Precision,0.6363636363636364
DNN,22,SB,Recall,0.7857142857142857
DNN,22,SB,Specificity,0.9913366336633663
DNN,22,SB,F1 score,0.7441860465116279
DNN,22,AF,Precision,1.0
DNN,22,AF,Recall,0.5
DNN,22,AF,Specificity,1.0
DNN,22,AF,F1 score,0.6666666666666666
DNN,22,ST,Precision,0.8571428571428571
DNN,22,ST,Recall,0.9117647058823529
DNN,22,ST,Specificity,0.9925187032418953
DNN,22,ST,F1 score,0.9032258064516129
DNN,23,1dAVb,Precision,0.7142857142857143
DNN,23,1dAVb,Recall,0.8235294117647058
DNN,23,1dAVb,Specificity,0.98875
DNN,23,1dAVb,F1 score,0.7924528301886793
DNN,23,RBBB,Precision,0.7878787878787878
DNN,23,RBBB,Recall,1.0
DNN,23,RBBB,Specificity,0.9898348157560356
DNN,23,RBBB,F1 score,0.8813559322033898
DNN,23,LBBB,Precision,1.0
DNN,23,LBBB,Recall,1.0
DNN,23,LBBB,Specificity,1.0
DNN,23,LBBB,F1 score,1.0
DNN,23,SB,Precision,0.6428571428571429
DNN,23,SB,Recall,0.7857142857142857
DNN,23,SB,Specificity,0.9913473423980222
DNN,23,SB,F1 score,0.744186046511628
DNN,23,AF,Precision,1.0
DNN,23,AF,Recall,0.5
DNN,23,AF,Specificity,1.0
DNN,23,AF,F1 score,0.6666666666666666
DNN,23,ST,Precision,0.8571428571428571
DNN,23,ST,Recall,0.9117647058823529
DNN,23,ST,Specificity,0.9935567010309279
DNN,23,ST,F1 score,0.9032258064516129
DNN,24,1dAVb,Precision,0.7142857142857143
DNN,24,1dAVb,Recall,0.8235294117647058
DNN,24,1dAVb,Specificity,0.98875
DNN,24,1dAVb,F1 score,0.793103448275862
DNN,24,RBBB,Precision,0.7878787878787878
DNN,24,RBBB,Recall,1.0
DNN,24,RBBB,Specificity,0.9898477157360406
DNN,24,RBBB,F1 score,0.8813559322033898
DNN,24,LBBB,Precision,1.0
DNN,24,LBBB,Recall,1.0
DNN,24,LBBB,Specificity,1.0
DNN,24,LBBB,F1 score,1.0
DNN,24,SB,Precision,0.6428571428571429
DNN,24,SB,Recall,0.7857142857142857
DNN,24,SB,Specificity,0.9913473423980222
DNN,24,SB,F1 score,0.7499999999999999
DNN,24,AF,Precision,1.0
DNN,24,AF,Recall,0.5
DNN,24,AF,Specificity,1.0
DNN,24,AF,F1 score,0.6666666666666666
DNN,24,ST,Precision,0.8571428571428571
DNN,24,ST,Recall,0.9117647058823529
DNN,24,ST,Specificity,0.993573264781491
DNN,24,ST,F1 score,0.9041095890410958
DNN,25,1dAVb,Precision,0.72
DNN,25,1dAVb,Recall,0.8235294117647058
DNN,25,1dAVb,Specificity,0.9887640449438202
DNN,25,1dAVb,F1 score,0.7931034482758621
DNN,25,RBBB,Precision,0.7878787878787878
DNN,25,RBBB,Recall,1.0
DNN,25,RBBB,Specificity,0.9898734177215189
DNN,25,RBBB,F1 score,0.8813559322033898
DNN,25,LBBB,Precision,1.0
DNN,25,LBBB,Recall,1.0
DNN,25,LBBB,Specificity,1.0
DNN,25,LBBB,F1 score,1.0
DNN,25,SB,Precision,0.6470588235294118
DNN,25,SB,Recall,0.7857142857142857
DNN,25,SB,Specificity,0.9913473423980222
DNN,25,SB,F1 score,0.7499999999999999
DNN,25,AF,Precision,1.0
DNN,25,AF,Recall,0.5
DNN,25,AF,Specificity,1.0
DNN,25,AF,F1 score,0.6666666666666666
DNN,25,ST,Precision,0.8571428571428571
DNN,25,ST,Recall,0.9142857142857143
DNN,25,ST,Specificity,0.9935897435897436
DNN,25,ST,F1 score,0.9041095890410958
DNN,26,1dAVb,Precision,0.72
DNN,26,1dAVb,Recall,0.8260869565217391
DNN,26,1dAVb,Specificity,0.9887640449438202
DNN,26,1dAVb,F1 score,0.8
DNN,26,RBBB,Precision,0.7894736842105263
DNN,26,RBBB,Recall,1.0
DNN,26,RBBB,Specificity,0.9898734177215189
DNN,26,RBBB,F1 score,0.8823529411764706
DNN,26,LBBB,Precision,1.0
DNN,26,LBBB,Recall,1.0
DNN,26,LBBB,Specificity,1.0
DNN,26,LBBB,F1 score,1.0
DNN,26,SB,Precision,0.6470588235294118
DNN,26,SB,Recall,0.7857142857142857
DNN,26,SB,Specificity,0.9913473423980222
DNN,26,SB,F1 score,0.75
DNN,26,AF,Precision,1.0
DNN,26,AF,Recall,0.5
DNN,26,AF,Specificity,1.0
DNN,26,AF,F1 score,0.6666666666666666
DNN,26,ST,Precision,0.8611111111111112
DNN,26,ST,Recall,0.9142857142857143
